N°,Periodo,PUNTAJE_ICFES,PUNTAJE_PONDERADO,ESTADO
524,2021-1,317.00,64.85,NO
525,2021-1,315.00,64.85,NO
526,2021-1,327.00,64.80,NO
527,2021-1,327.00,64.80,NO
528,2021-1,325.00,64.80,NO
529,2021-1,322.00,64.80,NO
530,2021-1,322.00,64.80,NO
531,2021-1,335.00,64.75,NO
532,2021-1,322.00,64.75,NO
533,2021-1,321.00,64.75,NO
534,2021-1,320.00,64.75,NO
535,2021-1,318.00,64.75,NO
536,2021-1,316.00,64.75,NO
537,2021-1,312.00,64.75,NO
538,2021-1,329.00,64.70,NO
539,2021-1,326.00,64.70,NO
540,2021-1,325.00,64.70,NO
541,2021-1,319.00,64.70,NO
542,2021-1,318.00,64.70,NO
543,2021-1,315.00,64.70,NO
544,2021-1,330.00,64.65,NO
545,2021-1,325.00,64.65,NO
546,2021-1,322.00,64.65,NO
547,2021-1,318.00,64.65,NO
548,2021-1,313.00,64.65,NO
549,2021-1,325.00,64.60,NO
550,2021-1,324.00,64.60,NO
551,2021-1,312.00,64.60,NO
552,2021-1,334.00,64.55,NO
553,2021-1,320.00,64.55,NO
554,2021-1,320.00,64.55,NO
555,2021-1,315.00,64.55,NO
556,2021-1,305.00,64.55,NO
557,2021-1,328.00,64.50,NO
558,2021-1,327.00,64.50,NO
559,2021-1,326.00,64.50,NO
560,2021-1,323.00,64.50,NO
561,2021-1,323.00,64.50,NO
562,2021-1,328.00,64.45,NO
563,2021-1,325.00,64.45,NO
564,2021-1,325.00,64.45,NO
565,2021-1,317.00,64.45,NO
566,2021-1,313.00,64.45,NO
567,2021-1,323.00,64.40,NO
568,2021-1,313.00,64.40,NO
569,2021-1,320.00,64.35,NO
570,2021-1,320.00,64.35,NO
571,2021-1,320.00,64.35,NO
572,2021-1,328.00,64.30,NO
573,2021-1,322.00,64.25,NO
574,2021-1,306.00,64.25,NO
575,2021-1,315.00,64.20,NO
576,2021-1,313.00,64.20,NO
577,2021-1,327.00,64.15,NO
578,2021-1,322.00,64.15,NO
579,2021-1,320.00,64.15,NO
580,2021-1,319.00,64.15,NO
581,2021-1,317.00,64.15,NO
582,2021-1,316.00,64.15,NO
583,2021-1,312.00,64.15,NO
584,2021-1,331.00,64.10,NO
585,2021-1,326.00,64.10,NO
586,2021-1,325.00,64.10,NO
587,2021-1,320.00,64.10,NO
588,2021-1,317.00,64.10,NO
589,2021-1,314.00,64.10,NO
590,2021-1,317.00,64.05,NO
591,2021-1,313.00,64.05,NO
592,2021-1,325.00,64.00,NO
593,2021-1,324.00,64.00,NO
594,2021-1,323.00,64.00,NO
595,2021-1,314.00,64.00,NO
596,2021-1,305.00,64.00,NO
597,2021-1,328.00,63.95,NO
598,2021-1,323.00,63.95,NO
599,2021-1,320.00,63.95,NO
600,2021-1,320.00,63.95,NO
601,2021-1,313.00,63.95,NO
602,2021-1,323.00,63.90,NO
603,2021-1,322.00,63.90,NO
604,2021-1,312.00,63.90,NO
605,2021-1,308.00,63.90,NO
606,2021-1,318.00,63.85,NO
607,2021-1,317.00,63.85,NO
608,2021-1,303.00,63.85,NO
609,2021-1,314.00,63.80,NO
610,2021-1,314.00,63.80,NO
611,2021-1,313.00,63.80,NO
612,2021-1,310.00,63.80,NO
613,2021-1,326.00,63.75,NO
614,2021-1,319.00,63.75,NO
615,2021-1,312.00,63.75,NO
616,2021-1,322.00,63.70,NO
617,2021-1,316.00,63.70,NO
618,2021-1,312.00,63.70,NO
619,2021-1,323.00,63.65,NO
620,2021-1,321.00,63.65,NO
621,2021-1,320.00,63.65,NO
622,2021-1,320.00,63.65,NO
623,2021-1,318.00,63.65,NO
624,2021-1,310.00,63.65,NO
625,2021-1,324.00,63.60,NO
626,2021-1,321.00,63.60,NO
627,2021-1,308.00,63.60,NO
628,2021-1,324.00,63.55,NO
629,2021-1,318.00,63.55,NO
630,2021-1,317.00,63.55,NO
631,2021-1,315.00,63.55,NO
632,2021-1,322.00,63.50,NO
633,2021-1,320.00,63.50,NO
634,2021-1,319.00,63.50,NO
635,2021-1,325.00,63.45,NO
636,2021-1,319.00,63.45,NO
637,2021-1,316.00,63.45,NO
638,2021-1,315.00,63.45,NO
639,2021-1,311.00,63.45,NO
640,2021-1,303.00,63.45,NO
641,2021-1,298.00,63.45,NO
642,2021-1,315.00,63.40,NO
643,2021-1,314.00,63.40,NO
644,2021-1,325.00,63.30,NO
645,2021-1,324.00,63.30,NO
646,2021-1,322.00,63.30,NO
647,2021-1,320.00,63.30,NO
648,2021-1,318.00,63.30,NO
649,2021-1,317.00,63.30,NO
650,2021-1,308.00,63.30,NO
651,2021-1,318.00,63.20,NO
652,2021-1,310.00,63.20,NO
653,2021-1,307.00,63.20,NO
654,2021-1,323.00,63.15,NO
655,2021-1,316.00,63.15,NO
656,2021-1,322.00,63.10,NO
657,2021-1,321.00,63.10,NO
658,2021-1,318.00,63.05,NO
659,2021-1,316.00,63.05,NO
660,2021-1,315.00,63.05,NO
661,2021-1,312.00,63.05,NO
662,2021-1,317.00,63.00,NO
663,2021-1,316.00,63.00,NO
664,2021-1,310.00,63.00,NO
665,2021-1,317.00,62.95,NO
666,2021-1,310.00,62.95,NO
667,2021-1,308.00,62.95,NO
668,2021-1,320.00,62.90,NO
669,2021-1,318.00,62.90,NO
670,2021-1,315.00,62.90,NO
671,2021-1,314.00,62.90,NO
672,2021-1,314.00,62.90,NO
673,2021-1,312.00,62.90,NO
674,2021-1,310.00,62.90,NO
675,2021-1,302.00,62.90,NO
676,2021-1,326.00,62.85,NO
677,2021-1,319.00,62.85,NO
678,2021-1,312.00,62.85,NO
679,2021-1,310.00,62.85,NO
680,2021-1,310.00,62.85,NO
681,2021-1,310.00,62.85,NO
682,2021-1,309.00,62.85,NO
683,2021-1,308.00,62.85,NO
684,2021-1,307.00,62.85,NO
685,2021-1,315.00,62.80,NO
686,2021-1,304.00,62.80,NO
687,2021-1,297.00,62.70,NO
688,2021-1,318.00,62.65,NO
689,2021-1,312.00,62.65,NO
690,2021-1,307.00,62.65,NO
691,2021-1,305.00,62.65,NO
692,2021-1,307.00,62.55,NO
693,2021-1,310.00,62.50,NO
694,2021-1,305.00,62.50,NO
695,2021-1,303.00,62.50,NO
696,2021-1,301.00,62.50,NO
697,2021-1,322.00,62.45,NO
698,2021-1,317.00,62.45,NO
699,2021-1,314.00,62.45,NO
700,2021-1,308.00,62.45,NO
701,2021-1,307.00,62.45,NO
702,2021-1,305.00,62.45,NO
703,2021-1,303.00,62.45,NO
704,2021-1,304.00,62.40,NO
705,2021-1,303.00,62.40,NO
706,2021-1,305.00,62.35,NO
707,2021-1,303.00,62.35,NO
708,2021-1,319.00,62.30,NO
709,2021-1,316.00,62.30,NO
710,2021-1,315.00,62.30,NO
