Periodo,PUNTAJE_ICFES,PUNTAJE_PONDERADO,ESTADO
2018-1,319.00,64.15,NO
2018-1,313.00,64.15,NO
2018-1,314.00,64.15,NO
2018-1,319.00,64.10,NO
2018-1,317.00,64.10,NO
2018-1,315.00,64.10,NO
2018-1,324.00,64.10,NO
2018-1,323.00,64.10,NO
2018-1,307.00,64.10,NO
2018-1,313.00,64.10,NO
2018-1,317.00,64.05,NO
2018-1,313.00,64.05,NO
2018-1,314.00,64.05,NO
2018-1,322.00,64.05,NO
2018-1,327.00,64.05,NO
2018-1,314.00,64.05,NO
2018-1,316.00,64.00,NO
2018-1,321.00,64.00,NO
2018-1,318.00,64.00,NO
2018-1,321.00,63.95,NO
2018-1,315.00,63.95,NO
2018-1,308.00,63.95,NO
2018-1,317.00,63.95,NO
2018-1,318.00,63.95,NO
2018-1,327.00,63.95,NO
2018-1,313.00,63.90,NO
2018-1,311.00,63.90,NO
2018-1,311.00,63.90,NO
2018-1,323.00,63.90,NO
2018-1,314.00,63.90,NO
2018-1,318.00,63.90,NO
2018-1,311.00,63.85,NO
2018-1,319.00,63.85,NO
2018-1,316.00,63.80,NO
2018-1,313.00,63.80,NO
2018-1,319.00,63.80,NO
2018-1,321.00,63.80,NO
2018-1,323.00,63.80,NO
2018-1,315.00,63.80,NO
2018-1,320.00,63.80,NO
2018-1,314.00,63.75,NO
2018-1,312.00,63.75,NO
2018-1,322.00,63.75,NO
2018-1,312.00,63.75,NO
2018-1,322.00,63.75,NO
2018-1,313.00,63.75,NO
2018-1,323.00,63.75,NO
2018-1,317.00,63.75,NO
2018-1,317.00,63.75,NO
2018-1,307.00,63.70,NO
2018-1,318.00,63.70,NO
2018-1,313.00,63.70,NO
2018-1,321.00,63.65,NO
2018-1,310.00,63.65,NO
2018-1,318.00,63.65,NO
2018-1,325.00,63.65,NO
2018-1,321.00,63.65,NO
2018-1,319.00,63.60,NO
2018-1,305.00,63.60,NO
2018-1,316.00,63.60,NO
2018-1,319.00,63.60,NO
2018-1,311.00,63.60,NO
2018-1,309.00,63.55,NO
2018-1,320.00,63.55,NO
2018-1,319.00,63.55,NO
2018-1,323.00,63.55,NO
2018-1,309.00,63.55,NO
2018-1,317.00,63.55,NO
2018-1,314.00,63.55,NO
2018-1,314.00,63.50,NO
2018-1,317.00,63.50,NO
2018-1,326.00,63.50,NO
2018-1,320.00,63.50,NO
2018-1,309.00,63.50,NO
2018-1,316.00,63.50,NO
2018-1,325.00,63.50,NO
2018-1,320.00,63.45,NO
2018-1,315.00,63.45,NO
2018-1,314.00,63.45,NO
2018-1,313.00,63.45,NO
2018-1,307.00,63.40,NO
2018-1,319.00,63.40,NO
2018-1,311.00,63.40,NO
2018-1,317.00,63.35,NO
2018-1,315.00,63.35,NO
2018-1,321.00,63.35,NO
2018-1,313.00,63.35,NO
2018-1,324.00,63.35,NO
2018-1,314.00,63.35,NO
2018-1,319.00,63.35,NO
2018-1,312.00,63.30,NO
2018-1,306.00,63.30,NO
2018-1,320.00,63.25,NO
2018-1,311.00,63.25,NO
2018-1,324.00,63.25,NO
2018-1,307.00,63.25,NO
2018-1,311.00,63.20,NO
2018-1,315.00,63.20,NO
2018-1,317.00,63.20,NO
2018-1,320.00,63.20,NO
2018-1,327.00,63.20,NO
2018-1,319.00,63.15,NO
2018-1,317.00,63.15,NO
2018-1,306.00,63.15,NO
2018-1,308.00,63.15,NO
2018-1,316.00,63.15,NO
2018-1,321.00,63.15,NO
2018-1,312.00,63.15,NO
2018-1,314.00,63.15,NO
2018-1,308.00,63.10,NO
2018-1,326.00,63.10,NO
2018-1,322.00,63.10,NO
2018-1,317.00,63.05,NO
2018-1,306.00,63.05,NO
2018-1,312.00,63.05,NO
2018-1,314.00,63.00,NO
2018-1,297.00,63.00,NO
2018-1,300.00,63.00,NO
2018-1,307.00,63.00,NO
